fuel_consumption_rate	traffic_congestion_level	driver_behavior_score
5.136511865	5.927585801	3.47E-07
5.101511531	1.591992191	1.46E-06
5.09080262	8.787765349	0.000124247
8.219557503	0.045257148	0.000132673
5.000074882	8.004850905	0.000202116
5.533562734	0.499404951	0.000207614
5.779803647	8.750501123	0.000359581
5.474694573	4.813078277	0.000487072
5.680607337	9.613160806	0.000531418
5.088425403	9.897407371	0.000627079
6.601943049	8.451799363	0.000696138
5.01516913	0.254117742	0.000997125
9.190992975	1.114359997	0.001136985
5.378060082	6.229264832	0.001187916
7.66582336	9.195519373	0.001513462
12.6179272	8.896589058	0.001549192
5.138370246	5.37265828	0.001660026
6.001007238	1.472931995	0.001880555
5.000000445	1.450323447	0.002116157
19.46703173	9.405083672	0.002365603
5.627314289	6.782112772	0.002376743
5.036266419	0.138952554	0.002942643
5.001625918	6.52488592	0.00298057
5.965113594	3.929661218	0.0033565
5.555734223	6.059335927	0.003796443
5.011879451	4.730472515	0.003820529
5.000424345	6.57809584	0.004026626
5.451173245	2.565734764	0.004389059
5.515055099	1.318352364	0.004408956
19.50117432	1.687175814	0.005505534
5.606163366	8.026608393	0.006103323
5.000160249	2.826734333	0.006414224
5.000000068	2.362143934	0.007167116
19.90569367	8.694654923	0.007521179
5.025059624	5.115778891	0.007528365
5.50773195	9.731834828	0.007827191
5.005729788	9.795817723	0.008985617
5.005444537	0.342216353	0.009508432
5.07481365	0.004039759	0.009790047
5.24966358	7.41741637	0.011741767
5.000000074	8.554631826	0.011808094
5.002016069	4.881362493	0.01195855
17.29449459	0.061408861	0.012137311
5.224346251	0.255395763	0.01225576
8.960881215	4.189751205	0.012489728
5.822377226	9.431816218	0.014673134
9.328036051	8.102102517	0.014943793
5.000000469	1.351111035	0.01590055
5	4.703830606	0.016957488
17.44909443	9.999993076	0.017267367
5.054604084	3.740546816	0.018878075
5.15562795	1.880202938	0.019470755
7.662680327	7.086958063	0.019978227
7.61650726	9.790427787	0.020698635
5.330304732	4.443241932	0.021409816
5.054163667	1.405917619	0.022479938
5.000000204	4.928034266	0.024294199
5.936765238	5.394841563	0.024562406
5.015257533	8.269544454	0.02524373
6.537221594	3.715440038	0.025575822
19.93390165	9.394943617	0.026003027
12.20444257	0.526020909	0.026288707
7.157687309	2.309775171	0.028280025
11.34970163	1.098098514	0.02828739
5.415421416	3.923439145	0.028823683
5.000109882	0.092498257	0.029775554
6.154268418	9.942302285	0.030619626
7.76945235	9.995047661	0.031066372
5.014279277	9.980833262	0.032723744
6.958841932	6.570093777	0.033058951
5.118398939	3.773264332	0.033843494
6.866625159	6.02344233	0.034441213
8.660723256	5.423438126	0.037768284
5.16578651	3.461586268	0.03842763
9.992733317	9.379615891	0.039376468
5.010779698	0.901426065	0.04241349
10.06630661	0.435028247	0.042448189
9.518792168	3.951234123	0.042726231
6.194838186	8.585794072	0.043113978
5.004409879	8.755428619	0.043127589
16.80458382	1.227300817	0.043986737
5.568188945	4.128019701	0.044817187
5.041478477	6.88014888	0.04759723
5.170581287	9.999466282	0.04810848
11.3595099	9.2590028	0.049018162
8.10890371	5.949779145	0.053152407
5.473873693	7.737995364	0.054291632
5.892560957	5.141275367	0.05585902
16.93349375	3.586470846	0.056860826
5.000468347	2.250383681	0.058991761
5.000001295	1.10458069	0.059395894
5.03028282	9.899379687	0.060709274
5.823911997	0.691231594	0.06081426
6.944916457	1.916377123	0.06135152
5.443621298	9.962319773	0.063716054
8.676228071	7.766877178	0.064975777
5.00161091	2.298323855	0.066420554
5.600231484	8.513700748	0.066703953
5.004042298	7.157273416	0.069570028
